rank,location,trigger,current_copy,user_risk,proposed_replacement,implementation_status,verification_result
1,"mobile-app/src/api/fuelPathApi.ts","Any mobile API endpoint returned a JSON error payload","payload.error or Fuel Path API returned HTTP status","Could expose provider names, HTTP details or internal backend text across Plan, Nearby, EV and saved-route flows","Surface-specific plain recovery copy via apiErrorMessage and userVisibleErrorMessage","Verified","mobile npm test passed; local browser failure-state stress passed 7/7; raw-text sweep only found internal/admin diagnostics or test fixtures"
2,"mobile-app/src/screens/PlanScreen.tsx","Plan route scoring or fallback route lookup failed","Raw err.message after known cases","Could expose route engine, provider, TypeError or stack-like messages when route planning fails","We could not plan that drive right now. Check the addresses, try again, or use Nearby fuel.","Verified","mobile npm test passed; browser scenario plan-route-provider-failure verified safe copy and blocked raw Route engine/node/internal text"
3,"api/score.js and api/_publicErrors.js","/api/score or /api/route failed, or checked detour route timed out","str/error details including route provider failure; Checked detour timing is temporarily unavailable.","Could leak route provider failures or leave the driver without a useful recovery step","Route planning is temporarily unavailable. Check the addresses or choose a saved route.; Checked detour timing timed out, so Fuel Path kept the estimated detour.","Verified","node --test affected API suite passed 145/145; root npm test passed 154/154"
4,"mobile-app/src/hooks/useNearbyResults.ts and api/stations.js","Nearby fuel provider outage, unsupported area or pending access","Raw station API error or No live fuel provider covers this area yet.","Could desensitise users with provider/internal wording and no clear next step","Live prices are not available for this area yet. Try another location or check prices before driving.","Verified","browser scenarios nearby-fuel-empty-unsupported-region and nearby-fuel-provider-error passed; mobile npm test passed"
5,"api/_backend.js, api/_capabilities.js and api/_providerRuntime.js","Live price source partially failed, stale cache used or area unsupported","Some live fuel providers unavailable; NSW live fuel provider unavailable; national provider matrix copy","Exposes implementation structure and may reduce trust during degraded data states","Some live price sources are temporarily unavailable. Confirm prices before driving.; Live prices are not available for this area yet.","Verified","provider-routing/provider-reliability tests passed in affected API suite and root npm test"
6,"mobile-app/src/hooks/useRouteAddressSuggestions.ts","Address suggestions failed while typing","Location suggestions are unavailable. Check the local API and try again.","Mentions local API and gives a technical recovery path users cannot act on","Location suggestions are not available right now. Type a fuller address, suburb or postcode.","Verified","mobile npm test passed; address lookup guard passed"
7,"mobile-app/src/components/SavedPlaceEditor.tsx and mobile-app/src/screens/NearbyScreen.tsx","Saved Home/Work or Nearby address search failed","Raw err.message from lookup failure","Could expose provider names or technical lookup failures in account and nearby surfaces","We could not check that address right now. Add suburb or postcode, or try again shortly.","Verified","mobile npm test passed; raw-text sweep found no direct rendering of provider lookup errors in these files"
8,"api/geocode.js and api/_geocode.js","Address lookup fallback disabled, timed out, quota-limited or missing session context","Google Places fallback/session token/durable quota/provider lookup warnings","Exposes provider, quota and session implementation details to people entering an address","Address lookup is temporarily unavailable/busy/limited. Try a fuller address, suburb or postcode.","Verified","google-provider-mock tests passed; browser plan-geocode-provider-failure passed; py_compile web-demo/server.py passed"
9,"web-demo/server.py","Web demo score, route, stations or geocode exception","str(exc) returned to browser","Could display provider exception text or server internals in demo API responses","public_api_error per surface with plain recovery copy","Verified","python3 -m py_compile web-demo/server.py passed; raw-text sweep confirmed remaining str(exc) paths are internal handling, not public response copy"
10,"web-demo/app.js","Web demo route resolution, scoring, map fallback or boot failure","Google Directions unavailable, Google route unavailable, error.message boot text","Could show provider names or stack-like browser errors in the demo","Could not plan this route right now; Fuel Path could not load the demo. Refresh or try again shortly.","Blocked/excluded","Source patched and raw-text checked; browser exercise of web-demo-specific failure states was not run, so do not treat this row as runtime-verified"
